participant_id	cvlt-long_corr	cvlt-long_incorr	cvlt-long_RT
sub-pp073	1.0	0.0	1736.199999988079
sub-pp073	1.0	0.0	1762.100000023842
sub-pp073	1.0	0.0	1482.800000011921
sub-pp073	1.0	0.0	1666.600000023842
sub-pp073	0.0	1.0	4595.300000011921
sub-pp073	1.0	0.0	1504.699999988079
sub-pp073	1.0	0.0	1331.100000023842
sub-pp073	1.0	0.0	1498.7000000476835
sub-pp073	1.0	0.0	1178.5
sub-pp073	1.0	0.0	1315.2000000476835
sub-pp073	1.0	0.0	2283.100000023842
sub-pp073	1.0	0.0	1386.699999988079
sub-pp073	1.0	0.0	1419.5
sub-pp073	1.0	0.0	1267.5999999642372
sub-pp073	1.0	0.0	1459.199999988079
sub-pp073	1.0	0.0	1762.4000000357628
sub-pp073	1.0	0.0	1370.899999976158
sub-pp073	1.0	0.0	1458.300000011921
sub-pp073	1.0	0.0	2355.800000011921
sub-pp073	1.0	0.0	2747.100000023842
sub-pp073	1.0	0.0	1770.7000000476835
sub-pp073	1.0	0.0	1578.699999988079
sub-pp073	0.0	1.0	1611.300000011921
sub-pp073	1.0	0.0	1643.5
sub-pp073	1.0	0.0	1762.699999988079
sub-pp073	1.0	0.0	2003.2999999523165
sub-pp073	1.0	0.0	1354.5
sub-pp073	1.0	0.0	1363.0999999642372
sub-pp073	1.0	0.0	1171.699999988079
sub-pp073	1.0	0.0	1211.0999999642372
sub-pp073	1.0	0.0	1258.7999999523165
sub-pp073	1.0	0.0	1177.9000000357628
sub-pp073	1.0	0.0	1435.7999999523165
sub-pp073	1.0	0.0	2156.100000023842
sub-pp073	1.0	0.0	3625.799999952316
sub-pp073	1.0	0.0	1107.0
sub-pp073	1.0	0.0	1362.2999999523165
sub-pp073	1.0	0.0	1627.2000000476835
sub-pp073	1.0	0.0	1393.9000000357628
sub-pp073	1.0	0.0	1746.7999999523165
sub-pp073	1.0	0.0	3539.0
sub-pp073	1.0	0.0	2466.5
sub-pp073	1.0	0.0	1755.0
sub-pp073	1.0	0.0	1356.5
